,qa_id,question_title,question_body,question_user_name,question_user_page,answer,answer_user_name,answer_user_page,url,category,host,question_asker_intent_understanding,question_body_critical,question_conversational,question_expect_short_answer,question_fact_seeking,question_has_commonly_accepted_answer,question_interestingness_others,question_interestingness_self,question_multi_intent,question_not_really_a_question,question_opinion_seeking,question_type_choice,question_type_compare,question_type_consequence,question_type_definition,question_type_entity,question_type_instructions,question_type_procedure,question_type_reason_explanation,question_type_spelling,question_well_written,answer_helpful,answer_level_of_information,answer_plausible,answer_relevance,answer_satisfaction,answer_type_instructions,answer_type_procedure,answer_type_reason_explanation,answer_well_written,question_body_clean,answer_clean,qa_combined
0,'The How-To Geek',https://stackoverflow.com/users/291,'For others that wound up here: the best solution given the constraints, create XML at runtime and using .NET, is probably the first link: \nIs there a class to generate a sample XML document from XSD schema in .NET\nAt least, that\'s what I am going to try :). \n',ginbot,https://stackoverflow.com/users/444803,http://stackoverflow.com/questions/2170614/create-valid-xml-from-xsd-loaded-at-runtime-without-xsd-exe,STACKOVERFLOW,stackoverflow.com,1.0,0.4444444444444444,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.5555555555555556,0.8888888888888888,0.6666666666666666,1.0,1.0,0.9333333333333332,1.0,0.3333333333333333,0.0,1.0,others wound best solution given constraints,going try n,others wound best solution given constraints going try n
1," you can account for mortgage interest\ndeductions if you like to lower the total a bit).  Do you still feel that \nyou made a good \""investment\""?\n'",'Dilip Sarwate',https://money.stackexchange.com/users/5760,http://money.stackexchange.com/questions/16077/how-does-owning-a-home-and-paying-on-a-mortgage-fit-into-family-savings-and-inve,LIFE_ARTS,money.stackexchange.com,0.8888888888888888,0.3333333333333333,0.0,0.0,1.0,0.0,0.5555555555555556,0.5555555555555556,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.5,0.7777777777777778,0.8888888888888888,0.6,0.0,0.6666666666666666,1.0,0.7777777777777778,,,,,,https money stackexchange com users,money stackexchange com,https money stackexchange com users money stackexchange com
2, you can put your classes and packages inside \n\n/Volumes/Dropbox/texmf/tex/latex/myproject\n\n\n(choose a better name) and all users that modify accordingly the texmf.cnf file on their machines will be able to access the tree.\n\nLaunching TeX programs as, say,"\n\nTEXMFHOME=:/Volumes/Dropbox/texmf// pdflatex filename\n\n\nwould be equivalent (notice the initial colon that means \""append\"" the new tree after the value stated in texmf.cnf and the trailing // to mean \""search recursively). Such a setting of TEXMFHOME can be of course stated in the overall environment. The texmf.cnf way is safer", as it doesn\'t depend on shell setup; the extra tree will be ignored if not found on the system.\n',egreg,https://tex.stackexchange.com/users/4427,http://tex.stackexchange.com/questions/34203/where-to-put-sty-and-cls-file-for-project,TECHNOLOGY,tex.stackexchange.com,1.0,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.5,1.0,,,n ntexmfhome volumes dropbox texmf pdflatex filename n n nwould equivalent notice initial colon means append new tree value stated texmf cnf trailing mean search recursively setting texmfhome course stated overall environment texmf cnf way safer,https tex stackexchange com users,n ntexmfhome volumes dropbox texmf pdflatex filename n n nwould equivalent notice initial colon means append new tree value stated texmf cnf trailing mean search recursively setting texmfhome course stated overall environment texmf cnf way safer https tex stackexchange com users
3,'That should definitelly work, if you wan\'t to make the service more readable," you can also write the implicit component : \n\n&lt;model name=\""ProxySample\""&gt;\n    &lt;service name=\""HttpProxyService\""&gt;\n        &lt;inbound&gt;\n            &lt;http:inbound-endpoint address=\""http://localhost:8787\"" synchronous=\""true\""/&gt;\n        &lt;/inbound&gt;\n\n        &lt;bridge-component /&gt;\n\n        &lt;outbound&gt;\n            &lt;pass-through-router&gt;\n                &lt;outbound-endpoint address=\""http://server2.xyz.com:8080#[header:http.request]\"" synchronous=\""true\""/&gt;\n            &lt;/pass-through-router&gt;\n        &lt;/outbound&gt;\n    &lt;/service&gt;\n&lt;/model&gt;\n\n'",'Víctor Romero',https://stackoverflow.com/users/912190,http://stackoverflow.com/questions/2094757/create-pass-through-with-mule-esb-2-2-1,STACKOVERFLOW,stackoverflow.com,0.8888888888888888,0.4444444444444444,0.0,1.0,0.6666666666666666,1.0,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.7777777777777778,0.4444444444444444,1.0,1.0,0.5333333333333333,1.0,0.0,0.0,0.7777777777777778,,,,also write implicit component n n model name proxysample n service name httpproxyservice n inbound n http inbound endpoint address http localhost synchronous true n inbound n n bridge component n n outbound n pass router n outbound endpoint address http server xyz com header http request synchronous true n pass router n outbound n service n model n n,http stackoverflow com questions create pass mule esb,also write implicit component n n model name proxysample n service name httpproxyservice n inbound n http inbound endpoint address http localhost synchronous true n inbound n n bridge component n n outbound n pass router n outbound endpoint address http server xyz com header http request synchronous true n pass router n outbound n service n model n n http stackoverflow com questions create pass mule esb
4, function($resource) {\n  this.notification = $resource(\'/notification\').get();\n});\n\n// In your Protractor test\nbrowser.addMockModule(\'notificatonOverride\', function() {\n  angular.module(\'notificationOverride\').service(\'myNotificationService\', function() {\n    this.notification = {}; // or whatever you need here.\n  });\n});\n\n',Jmr,https://stackoverflow.com/users/2316696,http://stackoverflow.com/questions/26973127/protractor-test-vs-long-polling,STACKOVERFLOW,stackoverflow.com,0.7777777777777778,0.3333333333333333,0.0,1.0,1.0,1.0,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.4444444444444444,1.0,0.6666666666666666,1.0,1.0,0.9,1.0,0.0,0.0,0.8888888888888888,,,,function n notification whatever need n n n n,http stackoverflow com questions protractor test vs long polling,function n notification whatever need n n n n http stackoverflow com questions protractor test vs long polling
5,http://meta.stackexchange.com/questions/63800/interface-options-for-specifying-language-prettify,TECHNOLOGY,meta.stackexchange.com,0.7777777777777778,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4444444444444444,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,,,,meta stackexchange com,,meta stackexchange com 
6,http://diy.stackexchange.com/questions/6985/drywall-final-joint-compound-coat,LIFE_ARTS,diy.stackexchange.com,0.7777777777777778,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.7777777777777778,1.0,0.6666666666666666,1.0,0.8888888888888888,0.9333333333333332,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.7777777777777778,,,,,,,,,diy stackexchange com,,diy stackexchange com 
7, chapter 7.3\n','Carl Witthoft',https://stackoverflow.com/users/884372,http://stackoverflow.com/questions/7869602/modified-exponential-distribution-in-r,STACKOVERFLOW,stackoverflow.com,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.8,1.0,0.0,0.0,1.0,,,,,,https stackoverflow com users,stackoverflow com,https stackoverflow com users stackoverflow com
8,picture\nhttps://graph.facebook.com/100001114785800?fields=id,name,picture\n\nOR \n\nhttps://graph.facebook.com/100001114785800/picture?type=small\n\ntype can be small, normal, large, square\n\nBest luck Richard\n',Seema,https://stackoverflow.com/users/397535,http://stackoverflow.com/questions/2833308/facebook-api-is-it-possible-to-get-a-users-public-profile-data-by-email-addres,STACKOVERFLOW,stackoverflow.com,1.0,0.8888888888888888,0.0,1.0,0.3333333333333333,1.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.8888888888888888,0.5555555555555556,1.0,0.8888888888888888,0.8,1.0,0.0,0.3333333333333333,1.0,picture n n nhttps graph facebook com picture type small n ntype small,square n nbest luck richard n,picture n n nhttps graph facebook com picture type small n ntype small square n nbest luck richard n
9,IList&lt;SomethingData&gt;&gt;&gt; dataSetsByName = dataSets.Where(ds =&gt; ds.Key == nameForSearch);\n\n',Frank59,https://stackoverflow.com/users/1735047,http://stackoverflow.com/questions/13341504/create-a-list-or-any-variable-dynamically-add-data-to-each-list-and-later-com,STACKOVERFLOW,stackoverflow.com,0.8888888888888888,0.4444444444444444,0.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,https stackoverflow com users,stackoverflow com,https stackoverflow com users stackoverflow com
